TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay,predict
100,2,2,0,0,2,0,0,25.806451612903224,0.0,0,0,9,9.336396099165745
100,3,2,0,1,18,2621,0,25.806451612903224,1.0,1,9,9,9.23819597878057
100,4,2,0,2,29,3250,0,25.806451612903224,2.0,1,15,9,8.86954513802468
100,8,2,0,6,43,6250,1,25.806451612903224,6.0,0,21,9,8.83379582523705
120,8,2,0,6,43,5689,0,26.923076923076923,5.0,0,26,20,19.97020831758821
116,2,2,0,0,4,0,1,15.384615384615383,0.0,1,1,9,8.801611975478611
113,1,1,0,0,0,0,1,16.129032258064516,0.0,1,1,14,13.641633739621486
100,11,2,1,9,58,8024,1,25.806451612903224,9.0,1,30,9,8.816281941527652
120,9,2,0,7,49,6232,1,26.923076923076923,5.833333333333333,1,30,20,19.96285166518576
150,1,1,0,0,2,0,1,14.285714285714285,0.0,0,3,38,33.13413035349569
130,2,2,0,0,2,0,1,14.285714285714285,0.0,0,3,21,20.80342268257502
100,13,2,0,11,65,9360,0,25.806451612903224,11.0,0,33,9,8.993213548749939
145,3,3,0,0,12,0,0,14.285714285714285,0.0,0,7,21,21.07893490096669
145,3,3,0,0,12,0,0,14.285714285714285,0.0,1,8,21,20.97722133183763
145,3,3,0,0,12,0,0,14.285714285714285,0.0,1,9,21,20.83362702383804
130,3,3,0,0,10,0,0,14.285714285714285,0.0,1,9,21,21.302923502873657
100,13,2,1,11,74,9360,0,25.806451612903224,11.0,0,38,9,8.95699276094567
145,3,3,0,0,14,0,0,14.285714285714285,0.0,0,10,21,21.558865810517293
116,2,2,0,0,19,0,0,15.384615384615383,0.0,0,11,9,9.30379576079051
120,11,2,0,9,63,7317,0,26.923076923076923,7.5,0,39,20,19.970515653666755
145,3,3,0,0,19,0,0,14.285714285714285,0.0,0,12,21,21.28538590077935
98,2,2,0,0,18,0,0,14.285714285714285,0.0,0,14,14,14.068788231422534
140,3,3,0,0,30,0,0,14.285714285714285,0.0,1,16,21,20.88174506250127
132,2,1,0,1,16,1331,0,16.129032258064516,0.7575757575757576,1,16,10,9.675740011144828
