Date,Amount,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2023-12-22,60.0,160.0,30.0,90.0,90.0,46.188021535170066
2023-12-22,90.0,60.0,160.0,30.0,94.28571428571429,44.29339411136566
2023-12-22,30.0,90.0,60.0,160.0,78.57142857142857,44.880794492585736
2023-12-22,160.0,30.0,90.0,60.0,88.57142857142857,54.59809869356607
2023-12-22,60.0,160.0,30.0,90.0,84.28571428571429,55.634864026418676
2023-12-22,260.0,60.0,160.0,30.0,117.14285714285714,80.5634916725696
2023-12-22,230.0,260.0,60.0,160.0,127.14285714285714,90.50124966251124
2023-12-22,300.0,230.0,260.0,60.0,161.42857142857142,105.10765456244872
2023-12-22,320.0,300.0,230.0,260.0,194.28571428571428,114.57997830586035
2023-12-22,300.0,320.0,300.0,230.0,232.85714285714286,93.5796070580704
2023-12-22,260.0,300.0,320.0,300.0,247.14285714285714,88.07464366741917
2023-12-22,60.0,260.0,300.0,320.0,247.14285714285714,88.07464366741917
2023-12-22,160.0,60.0,260.0,300.0,232.85714285714286,93.5796070580704
2023-12-22,90.0,160.0,60.0,260.0,212.85714285714286,108.12250547631697
2023-12-22,8.0,90.0,160.0,60.0,171.14285714285714,124.05298407189913
2023-12-22,160.0,8.0,90.0,160.0,148.28571428571428,105.39088241037788
2023-12-22,90.0,160.0,8.0,90.0,118.28571428571429,82.38469575860614
2023-12-22,500.0,90.0,160.0,8.0,152.57142857142858,162.3359244928626
2023-12-22,260.0,500.0,90.0,160.0,181.14285714285714,160.92174969161107
2023-12-22,300.0,260.0,500.0,90.0,201.14285714285714,166.4606345570714
2023-12-22,50.0,300.0,260.0,500.0,195.42857142857142,171.52148275833864
2023-12-22,50.0,50.0,300.0,260.0,201.42857142857142,164.4616035663615
2023-12-22,200.0,50.0,50.0,300.0,207.14285714285714,163.47418610841754
2023-12-22,31.25,200.0,50.0,50.0,198.75,171.78747771592668
2023-12-22,42.1,31.25,200.0,50.0,133.3357142857143,116.11781629838192
2023-12-22,34.6,42.1,31.25,200.0,101.13571428571429,105.94582229566566
2023-12-22,372.0,34.6,42.1,31.25,111.42142857142858,129.37477168141805
2023-12-22,1800.0,372.0,34.6,42.1,361.4214285714285,646.8451629879846
2023-12-22,90.0,1800.0,372.0,34.6,367.13571428571424,643.8050563604157
2023-12-22,160.0,90.0,1800.0,372.0,361.4214285714285,645.7104600471373
2023-12-21,90.0,160.0,90.0,1800.0,369.8142857142857,641.0688117734096
2023-12-21,160.0,90.0,160.0,90.0,386.6571428571429,632.5154724250964
2023-12-21,60.0,160.0,90.0,160.0,390.2857142857143,630.2279255120627
2023-12-21,130.0,60.0,160.0,90.0,355.7142857142857,637.9879085285013
2023-12-21,90.0,130.0,60.0,160.0,111.42857142857143,38.913824205359674
2023-12-21,160.0,90.0,130.0,60.0,121.42857142857143,41.403933560540324
2023-12-21,60.0,160.0,90.0,130.0,107.14285714285714,43.09458036856583
2023-12-21,1800.0,60.0,160.0,90.0,351.42857142857144,640.1673888244275
2023-12-19,100.0,1800.0,60.0,160.0,342.85714285714283,643.5504198251624
2023-12-19,50.0,100.0,1800.0,60.0,341.42857142857144,644.2936331474071
2023-12-19,350.0,50.0,100.0,1800.0,372.85714285714283,637.5921968812114
2023-12-19,182.05,350.0,50.0,100.0,386.00714285714287,631.7082135161845
2023-12-19,204.1,182.05,350.0,50.0,392.3071428571429,629.2938836694739
2023-12-19,210.4,204.1,182.05,350.0,413.79285714285714,618.5326011541155
2023-12-19,350.0,210.4,204.1,182.05,206.65,113.75237360160779
2023-12-19,350.0,350.0,210.4,204.1,242.3642857142857,113.93276055889805
2023-12-19,50.0,350.0,350.0,210.4,242.3642857142857,113.93276055889805
2023-12-19,350.0,50.0,350.0,350.0,242.3642857142857,113.93276055889805
2023-12-19,220.0,350.0,50.0,350.0,247.78571428571428,111.46049268046144
2023-12-19,100.0,220.0,350.0,50.0,232.91428571428568,124.44858950012731
2023-12-19,50.0,100.0,220.0,350.0,210.0,142.71183085738346
2023-12-19,30.0,50.0,100.0,220.0,164.28571428571428,141.6400535226689
2023-12-19,70.0,30.0,50.0,100.0,124.28571428571429,118.01936887041533
2023-12-19,350.0,70.0,30.0,50.0,167.14285714285714,139.12994953331435
2023-12-19,50.0,350.0,70.0,30.0,124.28571428571429,118.01936887041532
2023-12-19,50.0,50.0,350.0,70.0,100.0,112.3981020005812
2023-12-19,220.0,50.0,50.0,350.0,117.14285714285714,121.20427463780277
2023-12-19,300.0,220.0,50.0,50.0,152.85714285714286,134.2527821827513
2023-12-18,56.55,300.0,220.0,50.0,156.65,130.5267182099757
2023-12-18,39.75,56.55,300.0,220.0,152.32857142857142,134.31927715069588
2023-12-18,34.9,39.75,56.55,300.0,107.31428571428572,107.06811194392951
2023-12-18,34.9,34.9,39.75,56.55,105.15714285714286,108.55706037445277
2023-12-18,96.3,34.9,34.9,39.75,111.77142857142857,106.0170656747556
2023-12-18,37.15,96.3,34.9,34.9,85.65,97.05354192403139
2023-12-18,320.0,37.15,96.3,34.9,88.50714285714285,104.429559307423
2023-12-18,320.0,320.0,37.15,96.3,126.14285714285714,134.21733130937025
2023-12-18,130.0,320.0,320.0,37.15,139.03571428571428,128.7590278850555
2023-12-18,90.0,130.0,320.0,320.0,146.90714285714284,122.8819637856153
2023-12-18,160.0,90.0,130.0,320.0,164.77857142857144,112.53885942620944
2023-12-18,60.0,160.0,90.0,130.0,159.59285714285716,116.96934223893572
2023-12-18,30.1,60.0,160.0,90.0,158.58571428571426,118.22295925596619
2023-12-18,142.5,30.1,60.0,160.0,133.22857142857143,94.48394421427088
2023-12-18,45.4,142.5,30.1,60.0,93.99999999999999,51.025189857556875
2023-12-18,30.0,45.4,142.5,30.1,79.71428571428571,53.21786756880765
2023-12-18,160.0,30.0,45.4,142.5,89.71428571428571,61.41776150732906
2023-12-18,90.0,160.0,30.0,45.4,79.71428571428571,53.21786756880765
2023-12-18,130.0,90.0,160.0,30.0,89.71428571428571,55.42690166851429
