TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay,predict
100,4,2,0,2,28,3250,0,25.806451612903224,2.0,0,14,9,8.913727562271973
120,5,2,0,3,25,4169,0,26.923076923076923,2.5,1,15,20,19.997696081192277
100,5,2,0,3,31,4658,0,25.806451612903224,3.0,1,16,9,8.876744627233577
120,6,2,0,4,35,4489,0,26.923076923076923,3.333333333333333,1,22,20,20.08473503244882
100,8,2,0,6,46,6250,0,25.806451612903224,6.0,1,23,9,8.901345013482072
113,1,1,0,0,0,0,0,16.129032258064516,0.0,0,0,14,14.022655361631635
125,1,1,0,0,1,0,0,15.384615384615383,0.0,0,0,6,6.9605526469617445
140,2,2,0,0,2,0,1,14.285714285714285,0.0,1,1,21,21.498263425398772
113,1,1,0,0,0,0,1,16.129032258064516,0.0,1,1,14,13.765936922785343
130,1,1,0,0,0,0,1,14.285714285714285,0.0,1,1,21,20.6413715397734
125,1,1,0,0,1,0,1,15.384615384615383,0.0,1,2,6,6.780435136458848
100,12,2,0,10,61,8944,1,25.806451612903224,10.0,0,31,9,8.976973072723425
145,3,3,0,0,2,0,1,14.285714285714285,0.0,0,3,21,21.045589982227696
140,2,2,0,0,6,0,0,14.285714285714285,0.0,0,4,21,19.328563136659294
150,1,1,0,0,3,0,0,14.285714285714285,0.0,0,4,38,32.56880948606836
120,9,2,0,7,51,6232,0,26.923076923076923,5.833333333333333,0,32,20,20.00503639574295
98,2,2,0,0,6,0,0,14.285714285714285,0.0,0,5,14,14.190079125740752
120,9,2,1,7,53,6232,0,26.923076923076923,5.833333333333333,0,33,20,20.000516793400905
140,3,3,0,0,12,0,0,14.285714285714285,0.0,0,6,21,20.875295832605342
132,1,1,0,0,6,0,0,16.129032258064516,0.0,0,6,10,9.623897605034884
120,11,2,0,9,63,7317,0,26.923076923076923,7.5,0,39,20,19.99960500509356
140,3,3,0,0,24,0,0,14.285714285714285,0.0,0,12,21,21.22144575479747
98,2,2,0,0,18,0,0,14.285714285714285,0.0,0,14,14,13.965097509766068
113,3,2,0,1,23,1911,0,16.129032258064516,0.8849557522123894,0,14,14,13.888902377542266
132,2,1,0,1,15,1331,0,16.129032258064516,0.7575757575757576,1,15,10,9.912876454692608
113,3,2,0,1,26,1911,0,16.129032258064516,0.8849557522123894,1,16,14,13.877663729975623
98,2,2,0,0,20,0,0,14.285714285714285,0.0,0,17,14,13.937237992069145
98,2,1,0,1,21,2737,0,14.285714285714285,1.020408163265306,0,18,14,13.794511000794458
100,18,2,1,16,92,12824,0,25.806451612903224,16.0,0,48,9,8.93715834964992
145,4,3,1,1,37,2636,0,14.285714285714285,0.6896551724137931,0,20,21,22.631003209234635
113,5,2,0,3,38,4854,0,16.129032258064516,2.6548672566371683,0,21,14,13.878387035759673
145,5,3,0,2,41,4792,0,14.285714285714285,1.3793103448275863,1,22,21,21.00378836023215
130,8,3,0,5,43,8217,0,14.285714285714285,3.8461538461538463,1,22,21,21.122027448667225
116,5,2,0,3,38,4296,0,15.384615384615383,2.586206896551724,1,23,9,8.731930671064632
120,15,2,1,13,80,10274,0,26.923076923076923,10.833333333333334,1,51,20,19.97260667809992
132,4,1,0,3,26,1816,0,16.129032258064516,2.272727272727273,0,25,10,10.019460970540834
150,7,2,1,5,47,6098,0,14.285714285714285,3.333333333333333,0,25,38,35.9968429046216
145,6,3,1,3,48,6414,0,14.285714285714285,2.068965517241379,0,25,21,20.72888792660656
130,9,3,1,6,49,8449,0,14.285714285714285,4.615384615384616,0,25,21,21.18013026655304
116,6,2,1,4,45,4847,0,15.384615384615383,3.4482758620689653,0,28,9,9.17369932827701
100,20,2,1,18,104,13765,0,25.806451612903224,18.0,0,56,9,8.989255516507697
132,5,0,0,5,30,3299,0,16.129032258064516,3.787878787878788,0,28,10,10.034035031237591
139,2,2,0,0,3,0,0,3.8461538461538463,0.0,1,1,5,11.449148212444427
130,11,3,0,8,60,9662,0,14.285714285714285,6.153846153846154,1,29,21,21.58521194335249
150,11,3,0,8,60,9362,0,14.285714285714285,5.333333333333334,0,31,38,37.50975161860829
132,6,1,0,5,33,3299,0,16.129032258064516,3.787878787878788,0,33,10,10.096855154833476
116,7,2,1,5,53,5377,0,15.384615384615383,4.310344827586207,0,34,9,9.194769419490925
120,19,1,1,18,99,12946,0,26.923076923076923,15.0,0,62,20,20.13652489522589
132,6,1,0,5,34,3299,0,16.129032258064516,3.787878787878788,0,35,10,10.111808331760995
125,9,2,1,7,56,7376,0,15.384615384615383,5.6000000000000005,0,35,6,9.267301654659107
98,8,2,0,6,44,8431,0,14.285714285714285,6.122448979591836,1,37,14,13.941193293173868
140,3,3,0,0,18,0,0,4.761904761904762,0.0,0,10,17,15.341768776391705
130,14,2,0,12,77,12198,0,14.285714285714285,9.230769230769232,0,38,21,21.51990836048704
125,10,2,2,8,60,8011,0,15.384615384615383,6.4,0,38,6,8.568294834881684
140,3,3,1,0,24,0,0,4.761904761904762,0.0,0,12,17,14.696874429356695
132,7,1,0,6,39,3759,0,16.129032258064516,4.545454545454546,0,41,10,10.12642793444816
120,22,1,1,21,111,14706,0,26.923076923076923,17.5,0,69,20,19.804812192161776
116,9,2,2,7,68,6591,0,15.384615384615383,6.0344827586206895,1,43,9,9.774115927051255
140,10,2,1,8,82,8414,0,14.285714285714285,5.714285714285714,1,44,21,21.139504069314583
145,17,2,0,15,90,13932,0,14.285714285714285,10.344827586206897,1,44,21,21.348268281116773
140,4,3,1,1,30,2185,0,4.761904761904762,0.7142857142857143,1,16,17,17.292679162711877
130,17,3,0,14,92,13437,0,14.285714285714285,10.76923076923077,0,45,21,21.410020321381992
140,12,3,1,9,88,9231,0,14.285714285714285,6.428571428571428,0,46,21,21.29180959520086
139,5,3,2,2,35,2478,0,3.8461538461538463,1.4388489208633095,0,18,5,4.198738555730827
125,13,2,1,11,74,9613,0,15.384615384615383,8.799999999999999,0,46,6,7.072456608305814
140,13,3,2,10,91,10005,0,14.285714285714285,7.142857142857142,0,47,21,20.52520179383778
150,15,2,1,13,86,12367,0,14.285714285714285,8.666666666666668,0,47,38,38.0737722970966
113,14,2,1,12,84,11735,0,16.129032258064516,10.619469026548671,0,47,14,13.920748922886062
